sentence,subject,verb,object,hinnang
Taasiseseisvumine tegi Eestiski tulirelvad tavakodanikule kättesaadavaks .,taasiseseisvumine,tegema,tulirelv,yes
See kergendab ka poliitikute südant .,see,kergendama,süda,yes
“ Ema hoidis mind väga .,ema,hoidma,mina,yes
"Kohe seejärel lükkasid juudiriigi armee buldooserid kättemaksuks kokku mõned majad Gazas ning siis jõudis ka Islamidžihaadil kätte aeg teatada , et otsus peatada rünnakud Iisraeli vastu oli eksitus .",buldooser,lükkama,maja,yes
"“ Kulleri ” peatoimetaja Andrus Esko peab põhiliseks kriteeriumiks , millega ajalehe veergudele sattuda , siiski tuntust .",peatoimetaja,pidama,tuntus,yes
"Välismaa leheküljed toimetanud Aive Lauriste Patoloogiline märatseja COURTNEY LOVE on palganud endale ööpäevaringse turvamehe , kes peab teda kaitsma tema enda eest .",lehekülg,palkama,turvamees,no
Inimene näeb peale selle unenägusid .,inimene,nägema,unenägu,yes
"Kes aga iga päev teiste pakist suitsu teeb , see ennast suitsetajaks ei pea .",see,pidama,ise,yes
Ta võttis isegi kasutusele uue termini - juhkerdised .,tema,võtma,termin,yes
Vahekorras olles ei tajunud ma oma puudeid .,mina,tajuma,puue,yes
"“ Saad sa aru , rootslastega ei saa midagi kohe korda ajada .",sina,saama,aru,yes
Kuidas te end tööst välja lülitate ?,sina,lülitama,ise,yes
"Veelgi enam , pikka aega ei teadnud ka rahvusvaheline komisjon midagi nendest remondilehtedest .",komisjon,teadma,miski,yes
"” Keegi ei ütle Riisalule küll midagi otse näkku ja tihti tundub talle isegi , et nii mõnigi lugupeetud ärimees tahaks laval “ römiseda ” sama kompleksivabalt kui tema .",keegi,ütlema,miski,yes
"“ Tihti lõid nad oma ettevõtte palgatöö kõrvalt , kasutades ära nii tekkinud kontakte ( hankijad , koostööpartnerid , töötajad , kliendid ) kui ka omandatud teadmisi ( välisfirmadega suhtlemise kogemus , tolliprotseduuride tundmine ) , ” iseloomustab Juhan Teder .",tema,looma,ettevõte,yes
"Ligi kolmandik või ehk pooled praegu mandril töötavatest inimestest vast leiaksid Hiiumaal tööd , seda aga olulise palgakaotusega .",kolmandik,leidma,töö,yes
"Viimase poole aasta jooksul ongi politsei kõrvaldanud kaks korda rohkem kassette , laserplaate ja videokassette kui viimase kolme aastaga kokku .",politsei,kõrvaldama,kassett,yes
Mingeid kaugeleulatuvaid plaane me ei tee .,mina,tegema,plaan,yes
"Pilv võttis Murdiga ühendust ja teatas , et ootab temalt last .",pilv,võtma,ühendus,yes
Nende heitluste järel lahendab peategelane Vargamäele naastes ka küsimuse : mida pärast lüüasaamisi teha ?,peategelane,lahendama,küsimus,yes
Ma ei otsi kedagi .,mina,otsima,keegi,yes
Kuidas sa toitu välja mõtled ?,sina,mõtlema,toit,yes
Soomlased haistsid aga EL-is shanssi korrastada suhteid suure idanaabriga ning siduda end lõplikult Euroopaga .,soomlane,haistma,shanss,yes
Mis mitmete filmielamuste kõrval pakkus tihti tõsist mõtlemisainet meie endi olukorra analüüsimiseks .,mis,pakkuma,mõtlemisaine,yes
Lätis ja Leedus pidurdab traavispordi arengut alalise hipodroomi puudumine .,puudumine,pidurdama,areng,yes
70-ndate lõpus kirjutas ta raamatu “ Philosophy and the Mirror of Nature ” .,tema,kirjutama,raamat,yes
Keegi ei saa vanemaid ja sünnipaika valida .,keegi,valima,vanem,yes
Mida ma sellest teistele ikka patran .,mina,patrama,mis,yes
"Detsembri algul 1957. aastal informeeris Eesti NSV MN esimehe asetäitja Valter Klauson Narva parteikonverentsi delegaate , et Hrushtshov suhtub küsimuse lahendamisse pooldavalt .",asetäitja,informeerima,delegaat,yes
"Kuni väljaõppe lõpuni juhivad pataljoni tegelikult lääneriikide instruktorid , kes annavad järk-järgult üle juhtimisülesandeid ja volitusi .",instruktor,juhtima,pataljon,yes
"J . H . : Jah , valimised võivad esile tuua populistliku reaktsiooni , et siin müüakse odavalt maha kroonijuveele .",valimine,tooma,reaktsioon,yes
Kahe inimpõlve vältel on Hiina säilitanud Hongkongi ja sellest kasu lõiganud .,Hiina,säilitama,Hongkong,yes
Publik armastas Mati Nuudet .,Mati,armastama,publik,no
"Pianist ja helilooja REIN RANNAP ostis oma järjekordse turnee tarvis uue maasturi , Hyundai Fe .",pianist,ostma,maastur,yes
"Ta saatis kaitseminister Pavel Gratshovile telegrammi : “ Õnnitlen üleoleku saavutamise puhul õhuruumis , kohtume maal .",tema,saatma,telegramm,yes
"Peremees saab käpa kätte ning hoolimata külalise püüdest teda takistada , soovib 200 naelsterlingit .",peremees,saama,käpp,yes
"Ettevõtlik saarlane Tõnis Palts , kellel taskus TPI raadioinseneri diplom , ning kes juhib kümmekonnast firmast koosnevat Levicomi gruppi , ei varja oma ambitsioone : Levicom peab saama sajandivahetuseks võimsaimaks sideteenuseid pakkuvaks firmaks Baltikumis .",saarlane,varjama,ambitsioon,yes
Tollane linnapea Jaak Tamm ( ei ole Jaani sugulane ) saatis määruse õiguskantslerile .,linnapea,saatma,määrus,yes
"Lev Nikolajevitshi järgi määravad just nemad , täpsemalt küll nende hulk ühel või teisel ajalooetapil selle edasise käigu .",tema,määrama,käik,yes
"Nende arvamust ja poolehoidu jahtisid nii ajakirjandus , poliitikud kui ka ettevõtete juhid .",ajakirjandus,jahtima,arvamus,yes
Ma ei saa endale võtta viit kuni seitset tuhandet krooni ja lihtsalt ära minna .,mina,võtma,kroon,yes
Samasugust otsust loodavad Kallaste mehed .,mees,lootma,otsus,yes
"Need filiaalid ei too pangale olulist tulu , õigemini , pank on rahul , kui nad nullkasumiga töötavad , kuid ometi on nende regionaalpoliitiline roll väga suur , ” väitis Telgmaa ja nõudis keskpangalt otsesõnu Maapanga toetamist .",filiaal,tooma,tulu,yes
Lapsepõlve suved veetis Peterburis sündinud Hans vanaema Kati juures Koordis .,suvi,veetma,Hans,no
"Personaliotsingufirma Ariko Reserv juhataja Igor Pässi meelest on vahepealsed rasked aastad mõne inimese moraali sedavõrd muserdanud , et on kaotatud usk nii endasse kui ka koolituse võimalustesse .",aasta,muserdama,moraal,yes
"Sellest annab tunnistust näiteks asjaolu , et märtsis konfiskeeris Eesti toll 1000 Hiina päritolu TT püstolit , mis olid peidetud kolmekümnesse sinist värvi metallvaati .",asjaolu,andma,tunnistus,yes
Meie ettevõtjad ei tundnud kuni selle aasta alguseni erilist huvi 1995 sõlmitud Eesti ja Euroopa Liidu vahelise assotsiatsiooni ehk Euroopa lepingu vastu .,ettevõtja,tundma,huvi,yes
Kes seda teab ?,kes,teadma,see,yes
Harmoonilise figuuri nimel treenis ta end igal võimalikul hetkel .,tema,treenima,ise,yes
Ta peab pidevalt kinnitama NATO valmisolekut laieneda ka pärast esimest ringi ning kannustama Euroopa Liitu uute liikmete võtmisele .,tema,kinnitama,valmisolek,yes
Miks peab see kena neiu eespingil jooni alla tõmbama ?,neiu,tõmbama,joon,yes
Estoniaga juhtunut ning kapten Pihti saatust on Regina Baltica kapten Erich Moik ja Jüri Lember sadu kordi peast läbi lasknud .,kapten,laskma,saatus,yes
Koguse vähenedes kell aeglustab käiku .,kell,aeglustama,käik,yes
Mis ringides sa siis käe valgeks said ?,sina,saama,käsi,yes
Eriti selgelt tunnevad seda loomulikult eduka juhi lähedased .,lähedane,tundma,see,yes
Koos supermodellist abikaasa Imaniga kasvatab ta varsti kaheaastast tütart ega taha kuuldagi suurest maailmaturneest .,tema,kasvatama,tütar,yes
"Ministeerium , kes arveid maksab , kulutab kas rumalusest või kuritahtlikult kaitseväe autopargi tarvis aastas kuni kolm miljonit liigset krooni .",ministeerium,kulutama,kroon,yes
Säärane lähenemisviis seab Balti riigid erinevasse kategooriasse võrreldes teiste Euroopa riikidega .,lähenemisviis,seadma,riik,yes
Sellel taustal võivad ühiskondlik surve ja poliitilised manipulatsioonid kaasa tuua politseijuhtide sagedase vahetumise ja veelgi suureneva ebastabiilsuse politseis .,surve,tooma,vahetumine,yes
Üks siseminister premeeris teda hea töö eest suure stiliseeritud kassi kujuga .,siseminister,premeerima,tema,yes
Juba Lahesõja ajal ja ka pärast seda on Ühendriigid otsinud võimalust ja ettekäänet Saddam Husseini kõrvaldamiseks .,Ühendriik,otsima,võimalus,yes
Kuid Toomas ja Age on seda suutnud .,Toomas,suutma,see,yes
"” Tugevdamaks kontrolli ajakirjanduse ja üldse avaliku elu korralduse üle , asutas Konstantin Päts 1934. aastal valitsuse poolt suunatava Propaganda Talituse .",Konstantin,asutama,talitus,yes
"Selle tähtsa sündmuse juurde oli ta kaasa võtnud ka kasseti , mida palus mängida .",tema,võtma,kassett,yes
"Lihtsaima näitena toob ta suitsetamise , mille ta oleks nõus päevapealt maha jätma , kui ainult peaks .",tema,tooma,suitsetamine,yes
Tänu pankurite usaldusele sai suurema kontrolli meedia üle ka Kremli administratsioon eesotsas Anatoli Tshubaisiga .,administratsioon,saama,kontroll,yes
Ma ei saa ühte nalja teisele eelistada .,mina,eelistama,nali,yes
Leiud annavad lootust ja õigustust elu otsingutele väljaspool Maad - eelkõige Marsilt ja Europalt .,leid,andma,lootus,yes
Kauplemise üldeeskiri keelab helikonservide müügi kontserdiplatsil .,üldeeskiri,keelama,müük,yes
Mida arvate naljast “ Kaur Kender on Rain Lõhmuse koduloom ” ?,koduloom,arvama,mis,no
Eesti rohkem kui sadakond advokaadibürood ei tunne Eesti erakõrgkoolide vastu pea üldse huvi .,advokaadibüroo,tundma,huvi,yes
” Tõnis Erilaid süütab mõtlikult uue sigareti .,Tõnis,süütama,sigaret,yes
Näiteks sai Mehhiko 1994. aastal peeso kriisi ehk nn tequila shoki ajal laenu 50 mld dollarit .,Mehhiko,saama,laen,yes
Miks te pole maja ehitanud ?,sina,ehitama,maja,yes
” Pakub sulle mõni värv loominguliselt rohkem inspiratsiooni ?,värv,pakkuma,inspiratsioon,yes
Riigikantselei peadirektor Tarmo Mänd - tööandja eluruumi kaudu erastas korteri Tallinnas Liivalaia tänavas .,tööandja,erastama,korter,yes
Vastutasuks pakkus sama mees vara kiiret kompenseerimist .,mees,pakkuma,kompenseerimine,yes
"Keskkonnaministeeriumi juures töötav endise NSVL-i sõjaväe tekitatud keskkonnakahjustuste likvideerimise finantseerimise komisjon kavandab sajandivahetuseks eeskätt inimeste elule ja tervisele ohtliku saaste likvideerimist , kogu taaga kõrvaldamine on pööraselt kallis ning kestab veel vähemalt sajandi .",komisjon,kavandama,likvideerimine,yes
Andres Sõnajalg kasutab maatükkide kokkukrabamiseks kahte õlitatult töötavat skeemi .,Andres,kasutama,skeem,yes
9. augustil tühistas prokuratuur selle lõpetamise määruse .,prokuratuur,tühistama,määrus,yes
Meilgi on äike tänavu leidnud esimese ohvri 37-aastase kaevuri näol .,äike,leidma,ohver,yes
"Kogu maailmas armastavad edukad inimesed kunsti , investeerivad kultuuri ja haridusse .",inimene,armastama,kunst,yes
Kõigele vaatamata kasvatasid kotkad siin tänavu poja üles .,kotkas,kasvatama,poja,yes
"Nagu emad kunagi tütreid õpetasid , et enne tuleb tükk aega käia ja sõber olla .",ema,õpetama,tütar,yes
Mulle imponeerib lõunapoolsete rahvaste suhtumine aega .,suhtumine,imponeerima,aeg,yes
"“ Mina ostsin maja kinnisvarafirmalt , makstes 3,1 miljonit krooni .",mina,ostma,maja,yes
Järvamaal Oisu vallas tappis välk läbi elektrikarjuse seitse lehma .,välk,tapma,lehm,yes
"Tänini uurib proua Sarv leepra ajalugu , peab loenguid ning korraldab pidalitõve lugu tutvustavaid näitusi üle Eesti .",proua,uurima,ajalugu,yes
Nii või teisiti on kandnud minister Heiki Kranichi ponnistused vilja .,ponnistus,kandma,vili,yes
Inertses seltskonnas annavad tooni tööealised pensionärid ( 44% ) ja õppurid ( 26% ) .,pensionär,andma,toon,yes
"Venemaalt turgu otsivad Eesti tootjad on väljendanud mõistmatust , miks peab Eesti Moskva kesklinnas ülal läbi kvartali ulatuvat suurejoonelist saatkonda , kui arengud kõige rahvalähedasemas küsimuses - turu avamises - on aastaid olnud väga tagasihoidlikud .",tootja,otsima,turg,no
Veelgi rammusamad paljastused peibutavad ostjat aga raamatukaante vahel .,paljastus,peibutama,ostja,yes
"Aasta alguses saavutas Eesti majanduslik areng taseme , mis pani nõutult kukalt sügama nii mõnegi väliseksperdi , kodumaistest asjatundjatest rääkimata .",areng,saavutama,tase,yes
"See toob kaasa projekti seiskumise määramata ajaks , ” kirjutab Peets ühes kahest õiendist .",see,tooma,seiskumine,yes
"Hilisemad kabinetid on normi peaaegu poole võrra vähendanud , sellele vaatamata on viljasalvedes napilt 50 000 tonni riigi teravilja , nagu tunnistab põllumajandusministeeriumis asja kureeriv Elsa Nurk .",kabinet,vähendama,norm,yes
Otseselt või kaudselt tema omanduses firmad teenivad kasumit kümneid miljoneid kroone aastas .,firma,teenima,kasum,yes
“ Seal ühe poisi juures nad tarvitasid narkootikume .,tema,tarvitama,narkootikum,yes
Samal ajal ajas ta usinalt Carmen Kassi jälgi .,tema,ajama,jälg,yes
Listjevi tapmine shokeeris ühiskonda .,tapmine,shokeerima,ühiskond,yes
"Kui kutsekool Kallastel suletakse , tähendab see veel ühte tühja hoonet keskväljaku ääres .",see,tähendama,hoone,yes
Vähi on lühiajalises perspektiivis olukorra väga hästi välja mänginud .,Vähi,mängima,olukord,yes
"Kui tänavu jõuaksid prantslased finaali , jagaks ühtsama kirge korraga kolmveerand Prantsusmaa elanikkonnast .",kolmveerand,jagama,kirg,yes
Eelmise reede õhtupoolik ajas luiged Kadrioru pargi tiigil ärevusse .,õhtupoolik,ajama,luik,yes
Teie eelistate vene keelt ?,sina,eelistama,keel,yes
Peale muusika armastab ta ka kirjandust .,tema,armastama,kirjandus,yes
"Kõik see kokku lõi kooli omaenda vaimsuse ja kultuuri , mis kummalisel kombel jaksas selle maja seinte vahel püsivalt valitseda ka veel aastakümneid pärast gümnaasiumi likvideerimist .",see,looma,vaimsus,yes
Päris esimest pilti ma kellestki enam nii väga ei usalda .,mina,usaldama,pilt,yes
Ülalmainitud suundumused soodustavad tugevate superklubide teket .,suundumus,soodustama,teke,yes
"Ühiskonna eksistentsi lõpetavad harva revolutsioonid , sagedasem on assimileerumine , mandumine , hajumine jms .",revolutsioon,lõpetama,eksistents,yes
Laeva meeskonna moodustavad lisaks viiele mehele ka loendamatud prussakad .,prussakas,moodustama,meeskond,yes
"Kusagilt on kõrvu jäänud ka väide , et eestlastel puudub metafüüsiline tõmme - nii asised ja pragmaatilised on nad .",väide,jääma,kõrv,yes
Keda sina senistest missidest enim hindad ?,sina,hindama,kes,yes
Ja miks ei võinud noormeest vägitükkidele ajada ka sadismile kalduv loomus .,loomus,ajama,noormees,yes
"Prantsuse konjakidünastia järeltulijat , perefirma Larsen omanikku Frederic Larsenit ( 43 , keskel ) seob Eestiga üsna omapärane seik .",seik,siduma,järeltulija,yes
See teeks ta palju nooremaks .,see,tegema,tema,yes
"Võsul , kus Georg sõpradega suvilat üürib , on nad naabrite sõnul parasjagu peavalu teinud .",tema,tegema,peavalu,yes
"Kurkse õnnetus paljastas nõrgad kohad Eesti riigikaitsesüsteemis , eriti tehnilise ja seadusandliku poole pealt ning loodetavasti tehakse nüüd ka vajalikke jõupingutusi nende puuduste kõrvaldamiseks .",õnnetus,paljastama,koha,no
” Katse painet viskiga leevendada andis vastupidise tulemuse .,katse,andma,tulemus,yes
"Pere elu feminiinset , emotsionaalset poolt esindab Bill , maskuliinne , ratsionaalne iva tuleb Hillarylt .",Bill,esindama,pool,yes
Ma ei mäletagi neid jõule .,mina,mäletama,see,yes
Praegu külastab raamatukogu vähemalt iga kolmas elanik .,raamatukogu,külastama,elanik,no
“ Ma naudin Bondi-tüdrukuks olemist .,mina,nautima,olemine,yes
Ta teeb neist lihtsa järelduse : sel maa-alal paiknevad elamud tuleb lammutada .,tema,tegema,järeldus,yes
"Koristaja peseb põrandat ja ütleb järjekorras seisjatele , et minge pesuruumi , ma panen sinise lambi põlema , pisikute vastu .",koristaja,pesema,põrand,yes
"Oma valijaid esindas Savisaar aga kuni aprillini varjununa metsatalus , mitte Toompeal .",Savisaar,esindama,valija,yes
"Kui Eesti hakkas 1992. a. viisakohustuse kaotamist taotlema , panid soomlased vastu argumendid , et meil puudub kontroll oma territooriumi üle , et siin valitseb segadus immigratsioonipoliitikas ning pole aktsepteeritavaid reisidokumente .",soomlane,panema,argument,yes
Pulli asula esindab meie nn. Kunda kultuuri varast astet .,asula,esindama,aste,yes
"“ Mina isiklikult eelistan klassikuid , nagu näiteks must nahkpintsak ja valged särgid , ” lausus Elle , kes väljamüügil põrkas ninapidi kokku ka oma kunagise kallima Tim Jeffriesiga , kes nüüd , pärast hiljutist lahkuminekut Claudia Schifferist , on taas vaba ja vallaline .",mina,eelistama,klassik,yes
"See akt muudaks kahe inimese ühenduse sotsiaalselt tunnustatuks , mida teinekord hotellides või kurjade ämmade ees hädasti tarvis läheb .",akt,muutma,ühendus,yes
"Siseministeeriumi põhimääruse järgi “ vastutab eelarve täpse ja otstarbeka täitmise eest ” kantsler Toots , kes selgitab rahulikult : “ Siseministeeriumil ei ole automajandit ja meie rendime autosid politseilt .",kantsler,vastutama,eelarve,yes
Vastupidi - filminäitleja peab seda üheks lõbusaimaks seigaks viimasel ajal .,filminäitleja,pidama,see,yes
"Ja kõik oma päevad lõpetasin ma sellega , et mu taskud olid täis väikseid valgeid paberitükikesi , millele olin päeval märkmeid teinud .",mina,lõpetama,päev,yes
Kuidas te seda tähistasite ?,sina,tähistama,see,yes
Traktorist Kõllametsa otsus kodumets maha võtta vallandas ühe sellistest .,otsus,vallandama,üks,yes
Aga ka see raske moment leidis oma lahenduse tänu armastusele jumala vastu .,moment,leidma,lahendus,yes
Poisi kohta ma sedasama loomulikult öelda ei saa .,mina,ütlema,seesama,yes
"Massilised vahistamised , piinamised ja avalikud hukkamised on mässumeelsete indu viimasel kahel aastal tublisti vähendanud .",vahistamine,vähendama,ind,yes
Seltskond Noorukese poplaulja Billie Piperi ootamatu abiellumine briti miljonäri ja DJ Chris Evansiga on paksu pahameelt tekitanud .,abiellumine,tekitama,pahameel,yes
Meie arvukuse kiire kahanemine ja prognoositav uus immigratsioonilaine sunnib meid senist muulastepoliitikat revideerima .,kahanemine,sundima,mina,yes
"Enne New Yorgi office'isse tööle asumist sai Piret võimaluse kuu aega Londoni kontoris praktiseerida - proovimaks , kas talle seal meeldib .",Piret,saama,võimalus,yes
“ Ta soovib anonüümsust .,tema,soovima,anonüümsus,yes
Seda emotsiooni mõistsin ma küll täielikult .,mina,mõistma,emotsioon,yes
"Ma anusin teda , kuid asjatult .",mina,anuma,tema,yes
Palju sina näiteks häält harjutad ?,sina,harjutama,hääl,yes
Keegi tundmatu daam toob mõni päev hiljem sellele lisaks koopia perekonnaseisuameti tõendist isa sünni kohta .,daam,tooma,koopia,yes
"Eesti lennuväe vaimu tõestavad need mehed , kes ka pärast Teist maailmasõda ühel või teisel viisil võitlust jätkasid .",mees,tõestama,vaim,yes
"Olgugi vahepeal aastad lavastaja näole kortse juurde kirjutanud , rohmakusele on Komissarov truuks jäänud .",lavastaja,kirjutama,korts,no
Juba nimetus “ kuninglik ” teeb iirlasi tõrksaks organiga liituma .,nimetus,tegema,iirlane,yes
"Ükski pank ei anna ehituseks laenu , kui sul on tagatiseks pakkuda ainult maakasutusleping .",pank,andma,laen,yes
"Peaaegu kõik olid oma välimust kohendanud , keskmiselt 15 lõikusega .",kõik,kohendama,välimus,yes
"Ei suured riigid , nagu Ukraina , ega haavatavad riigid , nagu Baltimaad , ei tunne end rahulikult ainult selle pärast , et keegi teine nende julgeolekut tagab .",riik,tundma,ise,yes
“ Alkohol hävitas indiaanlased .,alkohol,hävitama,indiaanlane,yes
"Alex muutis mind pehmemaks , leebemaks ja vastuvõtlikumaks - naiselikumaks .",Alex,muutma,mina,yes
"Ta pole küll väikest armsat majakest mere äärde soetanud , vaid hoopiski keset Tallinna linna koos kolme sõbra , Paul Lilje , Alo Jaanivaldi ja Arvo Kokkaga uhke helisalvestusstuudio “ Red Records Stuudiod ” .",tema,soetama,majake,yes
Ta lubas tulevikus FIA-le osa tulust .,tema,lubama,osa,yes
"Pulmad , lapse sünd , Oscari võitnud film ja terrorirünnakud koduukse ees - kõik ühe aasta jooksul .",film,võitma,Oscari,no
Abielupaar veedab tagakambris ühiseid intiimseid hetki .,abielupaar,veetma,hetk,yes
Meie mees te valiku kiitsid heaks Rootsi nõustajad .,sina,kiitma,nõustaja,no
Elektrienergia ekspordi lõppemine ja tarbimise tagasiminek on elektrienergia tootmist vähendanud ca kaks korda .,lõppemine,vähendama,tootmine,yes
Ratsionaalne ellusuhtumine praegu sellist nähtust ei soosi .,ellusuhtumine,soosima,nähtus,yes
Just loomuliku olekuga lõi 15aastane Elva koolitüdruk Kerli Kõiv oma väga täiskasvanulikke ja lausa tädilikke konkurente Lätist-Leedust .,koolitüdruk,looma,konkurent,yes
"” Kuid kui naised edasi lunisid , siis Vilja rääkiski , iga kord mõne pisiasja .",vili,rääkima,pisiasi,no
Euroopa Komisjoni värske raport “ Responses to the Challenges of Globalisation ” käsitleb ühe vastusena globaliseerumisele ka rahvusvahelist valuutatehingutele kehtestatavat maksu .,raport,käsitlema,maks,yes
Kriitikuid paneb nördima lihtsustav ja ühekülgne nägemus .,nägemus,panema,kriitik,yes
"Erilist muret teeb järelkasv , füüsika alal on üliõpilasi vähe , helgemad pead valivad eriala , kus hoopis rohkem teenib .",järelkasv,tegema,mure,yes
See tähendab vähemasti kolmesadat beebit .,see,tähendama,beebi,yes
Tüdrukud pole mind piiranud .,tüdruk,piirama,mina,yes
"Ei , enne võiks ta minu maha jätta .",tema,jätma,mina,yes
"Ning loomulikult ei kasutaks ta neid privileege ainult ise , vaid jagaks kõigi kaaslastega .",tema,kasutama,privileeg,yes
Enne ühisprojekti algust pidid aga Ameerika astronaudid mitmel korral koostöö lihvimiseks külastama Vene kosmosejaama Mir .,astronaut,külastama,kosmosejaam,yes
Samuti sisaldab see rühm erinevail põhjusil kõrvale tõrjutuid ja muidu omapäraseid lapsi .,rühm,sisaldama,laps,yes
"“ Meie tahame Kassi väga , aga me ei tea , kas ka tema meid tahab .",mina,tahtma,kass,yes
Kuid kõigis neis said rohkem või vähem viga vaid lennukid .,lennuk,saama,viga,yes
Bill Clinton sai kaotatud ametikoha tagasi .,Bill,saama,ametikoht,yes
"Et nad vaataksid Venemaa tegelikkust nagu kalad akvaariumis , tummalt maigutades ja ennast täieliku kõrvaltvaatajana tundes .",tema,vaatama,tegelikkus,yes
"Sünnitusosakonnas küsisin ma oma palati naistelt näiteks selliseid asju : “ Aga mis ma siis teen , kui see asi tal tagumikust välja tuleb ?",mina,küsima,asi,yes
Mis teeb naise seksuaalselt isuäratavaks ?,mis,tegema,naine,yes
Ema ja vanaema õpetasid seda mulle . ”,ema,õpetama,see,yes
"Jane ja Rauli lugu sai alguse 1999. aastal Sierra Nevada treeninglaagris , kus jooksja Sevilla olümpiamängudeks valmistus .",lugu,saama,algus,yes
Ometi valis ta juba lapsena endale absoluutseks elusihiks jalgpalli .,tema,valima,jalgpall,yes
Rahakraani sulgemine haigust ei kaota ega tapa .,sulgemine,kaotama,haigus,yes
Kaupmehed saavad kindlustada peaaegu kõike .,kaupmees,kindlustama,kõik,yes
"Traditsioonide kestvust iseloomustab seegi pisiasi , et neid peresid , kes pärit fjordikaldalt , kus türgi piraadid sajandeid tagasi tuulevarju otsisid , kutsutakse ikka veel tõmmunahalisteks .",pisiasi,iseloomustama,kestvus,yes
"” Hirmu suure kiiruse ja sellega kaasnevate ohtude ees Marko ei tunne : “ Eks väike võbin ole enne iga starti sees , kuid hirmu pole küll aega tunda .",Marko,tundma,hirm,yes
Milline näeb praegu välja sinu päev ?,päev,nägema,milline,yes
Nii et selle katsumuse sai hoopis asjasse mittepuutuv mees .,mees,saama,katsumus,yes
"Samal ajal valasid õli tulle ja süvendasid investorite pessimismi veelgi välisajakirjanduses ilmunud artiklid Eesti majanduse dramaatilisest ülekuumenemisest ja sellega seotud ohtudest , mida kohalik press usinalt refereeris .",õli,valama,tuli,no
Tapmiskatse võõra riigi territooriumil paiskas Iisraeli ja Jordaania suhted kriisi .,suhe,paiskama,kriis,no
Nemad tekitavad samapalju kahju kui esimesed .,tema,tekitama,kahi,no
Sõbranna õpetas talle kodus selgeks sõnad “ tere ” ja “ aitäh ” .,sõbranna,õpetama,sõna,yes
"Likvideerimisotsuse langetamisega on Maapanga omanikud otsustusõiguse andnud panga likvideerimiskomisjonile , mis juhindub oma tegevuses äriseadustikust .",omanik,andma,otsustusõigus,yes
” Abikaasa Ene pani Peetrile silma peale omaaegses Eesti Õpilasmalevas .,abikaasa,panema,silm,yes
Aga me räägime Andrusega mõlemad ikka iga päev lastega läbi telefoni .,mina,rääkima,mõlema,no
"” ” Mis mul muud üle jäi , kui vastata “ yes ” , kuigi mind ei olnud tema auks korraldatud õhtusöögile kutsutud .",mis,jääma,muu,yes
"” Eramus uudistab aga tulijaid kogu pere lemmik , pärsia kass Cheri .",lemmik,uudistama,tulija,yes
"Lennupilet maksis ligi kolmkümmend tuhat krooni ja kahekuune äraolek maksis kah kõvasti , nii otseste kulude kui ka tegemata tööde mõttes .",lennupilet,maksma,kroon,yes
Väga hea kasvataja võib siis kodu puudujääke pisut kompenseerida .,kasvataja,kompenseerima,puudujääk,yes
Lüganuse Keskkool võtaks ajaloos või inglise keeles teistest koolidest hea meelega malli .,keskkool,võtma,mall,yes
"Keegi oleks saanud oma CV-sse punkti kirja , aga kultuurile poleks see mingit tulu toonud .",keegi,saama,kiri,no
"Paljutähendav muie suunurgas , märkab seda reklaami nüüd nii või teisiti igaüks .",igaüks,märkama,reklaam,yes
Mida te viimati talle kinkisite ?,sina,kinkima,mis,yes
Selleks kohustab neid kaudselt ÜRO Julgeolekunõukogu resolutsioon nr 827.,resolutsioon,kohustama,tema,yes
Hiljutise Horvaatia-Eesti matši ajal kandsid Eesti koondise fännid tribüünil loosungit “ Savisaar on pede ” .,fänn,kandma,loosung,yes
"Kui naine mehele teatas , et tahaks kangesti varieteesse tööle minna , ei andnud Alar armu : “ “ Sul on liiga suur pepu !",Alar,andma,arm,yes
"Füüsilist vägivalda ei õigusta igatahes miski , isegi mitte rahanappus .",miski,õigustama,vägivald,yes
Loos leiduvad hoiatused kajastavad autori isiklikku seisukohta .,hoiatus,kajastama,seisukoht,yes
Seevastu muutused energeetikas näitavad kähku oma mõju nii era- kui ka ühiskondlikus tarbimises .,muutus,näitama,mõju,yes
Eestlane oli teinud äri Peterburi metallimeestega .,eestlane,tegema,äri,yes
"Kirikut kaunistasid roosad roosid , rukkililled , liiliad ja lavendliõied .",roos,kaunistama,kirik,yes
Globaliseerumise lükkas käima nälg eksootiliste ja hirmkallite idamaiste vürtside järele .,nälg,lükkama,globaliseerumine,yes
"Kui sokid on laokil , korjan ma need kokku ja ei õienda .",mina,korjama,see,yes
Klient saab sajasest viis krooni ja kakskümmend senti tagasi .,klient,saama,kroon,yes
"Põlva , Viljandi ja Paide piimatöösturite ühendus , AS Ühinenud Meiereid paneb juba äriplaani kokku .",ühendus,panema,äriplaan,yes
"Savisaare-hirmus valis rahvas riigikogu lavale “ uue poliitika ” , nüüd jääb huviga oodata , mis loom see on .",rahvas,valima,poliitika,yes
"Kord kuus riiki külastav Eesti suursaadik võib küll seletada Eesti riigi üldist seisu vastava riigi välisministeeriumile , aga praegu vajame pidevat selgitustööd ja kohalolekut .",suursaadik,seletama,seis,yes
"Haridusministeerium on valinud teise tee , sest 91 kutsekooli on Eestile liiga palju .",haridusministeerium,valima,tee,yes
Tuhat krooni igale lapsele tasandaks vähemalt natukenegi seda lõhet .,kroon,tasandama,lõhe,yes
