,sentence,adjective,noun,
180,"Eelkõige 160ruutmeetrine lukskorter Tallinna vanalinnas ***** tänaval , mis paberite järgi kuulub Merle Palmistele .",pikk,tänav,yes
181,"Eelkõige 160ruutmeetrine lukskorter Tallinna vanalinnas ***** tänaval , mis paberite järgi kuulub Merle Palmistele .",kauge,tänav,no
182,"“ Ei mäleta meid , ***** lauljaid , enam keegi .",kunagine,laulja,yes
183,"“ Ei mäleta meid , ***** lauljaid , enam keegi .",omaaegne,laulja,yes
184,"Linn pole välistatud , ka siin on ***** kohti , ” leiab ta .",soliidne,koht,yes
185,"Linn pole välistatud , ka siin on ***** kohti , ” leiab ta .",auväärne,koht,yes
186,Enne ***** reisi Euroopasse lubas ta siiski ringi vaadata .,hiljutine,reis,yes
187,Enne ***** reisi Euroopasse lubas ta siiski ringi vaadata .,uus,reis,yes
188,"Üks peaaegu kahemeetrine kukkurloom , kes meile ***** väljal autoga paralleelselt kaasa tuiskas , hüppas oma suure kerega meie masinasse sisse .",suur,väli,yes
189,"Üks peaaegu kahemeetrine kukkurloom , kes meile ***** väljal autoga paralleelselt kaasa tuiskas , hüppas oma suure kerega meie masinasse sisse .",sügav,väli,no
190,"Kui nüüd lugejale jäi mulje , et suursaadiku töö ainult ***** õhtusöökidest ja pillerkaaritamisest koosnebki , siis nii see mõistagi ei ole .",maitsev,õhtusöök,yes
191,"Kui nüüd lugejale jäi mulje , et suursaadiku töö ainult ***** õhtusöökidest ja pillerkaaritamisest koosnebki , siis nii see mõistagi ei ole .",hõrk,õhtusöök,yes
192,Ühtlaselt ***** toetus kõigile hädalistele ei anna olulisi tulemusi .,väike,toetus,yes
193,Ühtlaselt ***** toetus kõigile hädalistele ei anna olulisi tulemusi .,madal,toetus,yes
194,Õige tehaseomanik oli Tallinna piimakombinaadi ***** riiklik direktor Tiit Kõuhkna .,viimane,direktor,yes
195,Õige tehaseomanik oli Tallinna piimakombinaadi ***** riiklik direktor Tiit Kõuhkna .,püsiv,direktor,no
196,"” ***** Kliimamuutuste Ekspertnõukogu ( IPCC ) hinnangul on maakera õhutemperatuur tõusnud 1860. aastast 0,3 - 0,6 oC .",valitsustevaheline,kliimamuutus,no
197,"” ***** Kliimamuutuste Ekspertnõukogu ( IPCC ) hinnangul on maakera õhutemperatuur tõusnud 1860. aastast 0,3 - 0,6 oC .",internatsionaalne,kliimamuutus,no
198,"” Ent kirve otsimine on tänapäeva Mustamäe paneelmajades ***** ettevõtmine , selle asemel sai Aleksei sakilise servaga noa .",lootusetu,ettevõtmine,yes
199,"” Ent kirve otsimine on tänapäeva Mustamäe paneelmajades ***** ettevõtmine , selle asemel sai Aleksei sakilise servaga noa .",kriitiline,ettevõtmine,no
